Probability,Account Name,Engagement Name,Created Date,Schedule Month,Region,Schedule Amount,Intacct Project ID,Project Code,Engagement Launch Date,Primary Partner,Fee,Engagement ID,Expense Budget,Engagement End Date,Office,Industry,_BATCH_ID_,_BATCH_LAST_RUN_
100%,SYPartners,2020 Brand Revenue (Products),2020-01-28,2020-01-01,East,18943.28,,,2019-01-01,,70372.51,0063Z00000iX9EN,,2020-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2020 Brand Revenue (Products),2020-01-28,2020-02-01,East,11509.06,,,2019-01-01,,70372.51,0063Z00000iX9EN,,2020-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2020 Brand Revenue (Products),2020-01-28,2020-03-01,East,3987.0,,,2019-01-01,,70372.51,0063Z00000iX9EN,,2020-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2020 Brand Revenue (Products),2020-01-28,2020-04-01,East,10267.29,,,2019-01-01,,70372.51,0063Z00000iX9EN,,2020-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2020 Brand Revenue (Products),2020-01-28,2020-05-01,East,1100.0,,,2019-01-01,,70372.51,0063Z00000iX9EN,,2020-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2020 Brand Revenue (Products),2020-01-28,2020-06-01,East,9627.0,,,2019-01-01,,70372.51,0063Z00000iX9EN,,2020-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2020 Brand Revenue (Products),2020-01-28,2020-07-01,East,3131.88,,,2019-01-01,,70372.51,0063Z00000iX9EN,,2020-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2020 Brand Revenue (Products),2020-01-28,2020-08-01,East,3325.0,,,2019-01-01,,70372.51,0063Z00000iX9EN,,2020-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2020 Brand Revenue (Products),2020-01-28,2020-09-01,East,2245.0,,,2019-01-01,,70372.51,0063Z00000iX9EN,,2020-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2020 Brand Revenue (Products),2020-01-28,2020-10-01,East,2311.0,,,2019-01-01,,70372.51,0063Z00000iX9EN,,2020-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2020 Brand Revenue (Products),2020-01-28,2020-11-01,East,1519.0,,,2019-01-01,,70372.51,0063Z00000iX9EN,,2020-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2020 Brand Revenue (Products),2020-01-28,2020-12-01,East,2407.0,,,2019-01-01,,70372.51,0063Z00000iX9EN,,2020-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2021 Brand Revenue (Products),2021-02-05,2021-01-01,East,639.0,SYP,SYP,2021-01-01,,50535.0,0063Z00000n2FZ7,,2021-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2021 Brand Revenue (Products),2021-02-05,2021-02-01,East,1875.0,SYP,SYP,2021-01-01,,50535.0,0063Z00000n2FZ7,,2021-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2021 Brand Revenue (Products),2021-02-05,2021-03-01,East,4381.0,SYP,SYP,2021-01-01,,50535.0,0063Z00000n2FZ7,,2021-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2021 Brand Revenue (Products),2021-02-05,2021-04-01,East,4073.0,SYP,SYP,2021-01-01,,50535.0,0063Z00000n2FZ7,,2021-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2021 Brand Revenue (Products),2021-02-05,2021-05-01,East,7500.0,SYP,SYP,2021-01-01,,50535.0,0063Z00000n2FZ7,,2021-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2021 Brand Revenue (Products),2021-02-05,2021-06-01,East,6795.0,SYP,SYP,2021-01-01,,50535.0,0063Z00000n2FZ7,,2021-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2021 Brand Revenue (Products),2021-02-05,2021-07-01,East,5407.0,SYP,SYP,2021-01-01,,50535.0,0063Z00000n2FZ7,,2021-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2021 Brand Revenue (Products),2021-02-05,2021-08-01,East,3637.0,SYP,SYP,2021-01-01,,50535.0,0063Z00000n2FZ7,,2021-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2021 Brand Revenue (Products),2021-02-05,2021-09-01,East,4275.0,SYP,SYP,2021-01-01,,50535.0,0063Z00000n2FZ7,,2021-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2021 Brand Revenue (Products),2021-02-05,2021-10-01,East,1933.0,SYP,SYP,2021-01-01,,50535.0,0063Z00000n2FZ7,,2021-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2021 Brand Revenue (Products),2021-02-05,2021-11-01,East,2999.0,SYP,SYP,2021-01-01,,50535.0,0063Z00000n2FZ7,,2021-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2021 Brand Revenue (Products),2021-02-05,2021-12-01,East,7021.0,SYP,SYP,2021-01-01,,50535.0,0063Z00000n2FZ7,,2021-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2022 Brand Revenue (Products),2021-08-16,2022-01-01,US,2340.0,SYP,SYP,2022-01-01,,72966.0,0063Z00000oikxp,,2022-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2022 Brand Revenue (Products),2021-08-16,2022-02-01,US,3572.0,SYP,SYP,2022-01-01,,72966.0,0063Z00000oikxp,,2022-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2022 Brand Revenue (Products),2021-08-16,2022-03-01,US,7495.0,SYP,SYP,2022-01-01,,72966.0,0063Z00000oikxp,,2022-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2022 Brand Revenue (Products),2021-08-16,2022-04-01,US,7270.0,SYP,SYP,2022-01-01,,72966.0,0063Z00000oikxp,,2022-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2022 Brand Revenue (Products),2021-08-16,2022-05-01,US,7026.0,SYP,SYP,2022-01-01,,72966.0,0063Z00000oikxp,,2022-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2022 Brand Revenue (Products),2021-08-16,2022-06-01,US,4370.0,SYP,SYP,2022-01-01,,72966.0,0063Z00000oikxp,,2022-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2022 Brand Revenue (Products),2021-08-16,2022-07-01,US,8730.0,SYP,SYP,2022-01-01,,72966.0,0063Z00000oikxp,,2022-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2022 Brand Revenue (Products),2021-08-16,2022-08-01,US,9515.0,SYP,SYP,2022-01-01,,72966.0,0063Z00000oikxp,,2022-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2022 Brand Revenue (Products),2021-08-16,2022-09-01,US,8665.0,SYP,SYP,2022-01-01,,72966.0,0063Z00000oikxp,,2022-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2022 Brand Revenue (Products),2021-08-16,2022-10-01,US,5166.0,SYP,SYP,2022-01-01,,72966.0,0063Z00000oikxp,,2022-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2022 Brand Revenue (Products),2021-08-16,2022-11-01,US,4743.0,SYP,SYP,2022-01-01,,72966.0,0063Z00000oikxp,,2022-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2022 Brand Revenue (Products),2021-08-16,2022-12-01,US,4074.0,SYP,SYP,2022-01-01,,72966.0,0063Z00000oikxp,,2022-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2023 Brand Revenue (Products),2022-11-01,2023-01-01,US,4632.0,SYP,SYP,2023-01-01,,111872.0,0063Z00000ww1VQ,,2023-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2023 Brand Revenue (Products),2022-11-01,2023-02-01,US,15098.0,SYP,SYP,2023-01-01,,111872.0,0063Z00000ww1VQ,,2023-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2023 Brand Revenue (Products),2022-11-01,2023-03-01,US,6908.0,SYP,SYP,2023-01-01,,111872.0,0063Z00000ww1VQ,,2023-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
100%,SYPartners,2023 Brand Revenue (Products),2022-11-01,2023-04-01,US,6295.0,SYP,SYP,2023-01-01,,111872.0,0063Z00000ww1VQ,,2023-12-31,,Consulting & Professional Services,109.0,2025-07-01 10:12:25
